Servers Homogeneity Algorithm Failure VM_Negates Frag_CPU Frag_Mem VM_Fail
13000 true 0 false 14409 54.77845459999904 33.06056910000328 0
13000 true 0 false 14409 54.77845459999904 33.06056910000328 0
13000 true 0 false 14409 54.77845459999904 33.06056910000328 0
13000 true 0 false 14409 54.77845459999904 33.06056910000328 0
13000 true 0 false 14409 54.77845459999904 33.06056910000328 0
13000 true 0 false 14409 54.77845459999904 33.06056910000328 0
13000 true 0 false 14409 54.77845459999904 33.06056910000328 0
13000 true 0 false 14409 54.77845459999904 33.06056910000328 0
13000 true 0 false 14409 54.77845459999904 33.06056910000328 0
13000 true 0 false 14409 54.77845459999904 33.06056910000328 0
13000 true 1 false 5575 57.36884180000011 -115.69023970000038 0
13000 true 1 false 5575 57.36884180000011 -115.69023970000038 0
13000 true 1 false 5575 57.36884180000011 -115.69023970000038 0
13000 true 1 false 5575 57.36884180000011 -115.69023970000038 0
13000 true 1 false 5575 57.36884180000011 -115.69023970000038 0
13000 true 1 false 5575 57.36884180000011 -115.69023970000038 0
13000 true 1 false 5575 57.36884180000011 -115.69023970000038 0
13000 true 1 false 5575 57.36884180000011 -115.69023970000038 0
13000 true 1 false 5575 57.36884180000011 -115.69023970000038 0
13000 true 1 false 5575 57.36884180000011 -115.69023970000038 0
13000 true 2 false 14038 51.194506199999225 19.073463700002492 0
13000 true 2 false 14038 51.194506199999225 19.073463700002492 0
13000 true 2 false 14038 51.194506199999225 19.073463700002492 0
13000 true 2 false 14038 51.194506199999225 19.073463700002492 0
13000 true 2 false 14038 51.194506199999225 19.073463700002492 0
13000 true 2 false 14038 51.194506199999225 19.073463700002492 0
13000 true 2 false 14038 51.194506199999225 19.073463700002492 0
13000 true 2 false 14038 51.194506199999225 19.073463700002492 0
13000 true 2 false 14038 51.194506199999225 19.073463700002492 0
13000 true 2 false 14038 51.194506199999225 19.073463700002492 0
13000 false 0 false 8923 88.23339967824278 1119.8658553583014 0
13000 false 0 false 8923 88.23339967824278 1119.8658553583014 0
13000 false 0 false 8923 88.23339967824278 1119.8658553583014 0
13000 false 0 false 8923 88.23339967824278 1119.8658553583014 0
13000 false 0 false 8923 88.23339967824278 1119.8658553583014 0
13000 false 0 false 8923 88.23339967824278 1119.8658553583014 0
13000 false 0 false 8923 88.23339967824278 1119.8658553583014 0
13000 false 0 false 8923 88.23339967824278 1119.8658553583014 0
13000 false 0 false 8923 88.23339967824278 1119.8658553583014 0
13000 false 0 false 8923 88.23339967824278 1119.8658553583014 0
13000 false 1 false 5277 136.75614406031005 -41.42737473968674 0
13000 false 1 false 5277 136.75614406031005 -41.42737473968674 0
13000 false 1 false 5277 136.75614406031005 -41.42737473968674 0
13000 false 1 false 5277 136.75614406031005 -41.42737473968674 0
13000 false 1 false 5277 136.75614406031005 -41.42737473968674 0
13000 false 1 false 5277 136.75614406031005 -41.42737473968674 0
13000 false 1 false 5277 136.75614406031005 -41.42737473968674 0
13000 false 1 false 5277 136.75614406031005 -41.42737473968674 0
13000 false 1 false 5277 136.75614406031005 -41.42737473968674 0
13000 false 1 false 5277 136.75614406031005 -41.42737473968674 0
13000 false 2 false 18630 49.434332710502005 -79.5351553895011 0
13000 false 2 false 18630 49.434332710502005 -79.5351553895011 0
13000 false 2 false 18630 49.434332710502005 -79.5351553895011 0
13000 false 2 false 18630 49.434332710502005 -79.5351553895011 0
13000 false 2 false 18630 49.434332710502005 -79.5351553895011 0
13000 false 2 false 18630 49.434332710502005 -79.5351553895011 0
13000 false 2 false 18630 49.434332710502005 -79.5351553895011 0
13000 false 2 false 18630 49.434332710502005 -79.5351553895011 0
13000 false 2 false 18630 49.434332710502005 -79.5351553895011 0
13000 false 2 false 18630 49.434332710502005 -79.5351553895011 0
13000 true 0 true 14569 54.77845459999904 33.06056910000328 47
13000 true 0 true 14617 54.77845459999904 33.06056910000328 64
13000 true 0 true 14601 54.77845459999904 33.06056910000328 56
13000 true 0 true 14585 54.77845459999904 33.06056910000328 48
13000 true 0 true 14601 54.77845459999904 33.06056910000328 60
13000 true 0 true 14521 54.77845459999904 33.06056910000328 50
13000 true 0 true 15696 54.77845459999904 33.06056910000328 116
13000 true 0 true 15459 54.77845459999904 33.06056910000328 86
13000 true 0 true 15616 54.77845459999904 33.06056910000328 104
13000 true 0 true 15680 54.77845459999904 33.06056910000328 117
13000 true 1 true 6231 97.18651509999982 -66.30686769999969 105
13000 true 1 true 6335 104.26461939999966 -82.25374085999984 115
13000 true 1 true 6295 103.81719669999954 -73.27607995999979 97
13000 true 1 true 6394 102.73202280000021 -93.89236749999984 109
13000 true 1 true 6380 105.46317109999956 -73.64871259999966 111
13000 true 1 true 6222 97.18651509999982 -66.30686769999969 106
13000 true 1 true 6208 97.18651509999982 -66.30686769999969 98
13000 true 1 true 6379 103.81719669999954 -73.27607995999979 120
13000 true 1 true 6315 105.46317109999956 -73.64871259999966 103
13000 true 1 true 6308 103.56084269999958 -66.80282970000016 112
13000 true 2 true 15168 51.194506199999225 19.073463700002492 115
13000 true 2 true 15072 51.194506199999225 19.073463700002492 104
13000 true 2 true 15106 51.194506199999225 19.073463700002492 98
13000 true 2 true 15069 51.194506199999225 19.073463700002492 91
13000 true 2 true 15290 51.194506199999225 19.073463700002492 114
13000 true 2 true 14810 51.194506199999225 19.073463700002492 85
13000 true 2 true 15260 51.194506199999225 19.073463700002492 105
13000 true 2 true 15024 51.194506199999225 19.073463700002492 101
13000 true 2 true 14859 51.194506199999225 19.073463700002492 85
13000 true 2 true 14927 51.194506199999225 19.073463700002492 87
13000 false 0 true 9384 82.19045842816217 1131.1488337082255 155
13000 false 0 true 9468 80.78870515998774 1138.8524250400515 161
13000 false 0 true 9408 81.77950999569046 1128.4967421757542 169
13000 false 0 true 9345 82.9588063723194 1125.1019157523822 159
13000 false 0 true 9523 79.80055928788222 1129.0677246679475 167
13000 false 0 true 9501 80.12516172686983 1134.6353455069334 169
13000 false 0 true 9330 83.15066012493112 1124.6577143049933 159
13000 false 0 true 9453 81.04597008400496 1131.7595819640692 150
13000 false 0 true 9471 80.73125903010083 1126.9157769101648 182
13000 false 0 true 9306 83.6509280223463 1125.5286177024086 136
13000 false 1 true 5931 114.48044701168381 -75.46793718831465 152
13000 false 1 true 5921 107.76988997081179 -92.06553882918828 142
13000 false 1 true 5951 110.68840910263714 -87.26973799736263 159
13000 false 1 true 5923 95.00995016876536 -72.59375813123427 146
13000 false 1 true 6013 93.61719507280509 -92.86775172719541 147
13000 false 1 true 6012 100.69214303230933 -54.08313136769029 174
13000 false 1 true 5932 106.55658597204982 -78.17063682794941 132
13000 false 1 true 5930 112.48080212730066 -87.64848273269853 155
13000 false 1 true 5974 92.12286449224493 -104.5925059077571 162
13000 false 1 true 6018 94.69546467345191 -94.20005802654951 155
13000 false 2 true 19469 49.3519743098558 -80.20227379014709 163
13000 false 2 true 19612 49.29689728777717 -80.58264081222566 165
13000 false 2 true 19621 49.32205484297373 -80.3458332570291 169
13000 false 2 true 20683 49.32205484297373 -80.3458332570291 160
13000 false 2 true 20023 49.31102133193442 -80.34919676806842 168
13000 false 2 true 19420 49.333261331934416 -80.33738676806843 139
13000 false 2 true 19535 49.31561026569855 -80.44752783430428 150
13000 false 2 true 19242 49.34561782089511 -80.08127027910778 142
13000 false 2 true 19735 49.36091377673787 -80.427084323265 149
13000 false 2 true 19470 49.31021728777717 -79.99149381222568 176
